"Chu kỳ","Thời gian","TV1 - Điều phối agent","TV2 - Ngữ cảnh & ghi nhớ","TV3 - Công cụ & kỹ năng","TV4 - Bảo mật hệ thống & kiểm chứng finding","TV5 - Dữ liệu & đánh giá","TV6 - Ứng dụng & demo","Kết quả chung","Trạng thái"
"C01","07/2026 - Tuần 1-2","Xác định luồng xử lý yêu cầu của agent","Xác định cách quản lý nội dung trong một phiên","Chốt phạm vi công cụ và kỹ năng cần xây","Xác định ranh giới an toàn của môi trường chạy","Kiểm kê nguồn dữ liệu và chất lượng nhãn","Chốt luồng sử dụng và công nghệ ứng dụng","Thống nhất kiến trúc và phạm vi bản đầu",""
"C02","07/2026 - Tuần 3-4","Làm bản đầu agent tự xử lý qua nhiều bước","Cho agent lưu ghi chú trong một lần chạy","Làm bộ công cụ cơ bản để agent đọc và tìm hiểu mã nguồn","Đo khả năng chạy được của khoảng 20 dự án","Chọn bộ dữ liệu thử nghiệm đầu tiên","Dựng khung giao diện và máy chủ","Demo agent tự đọc dự án và trả kết quả",""
"C03","08/2026 - Tuần 1-2","Chuẩn hóa kết quả của Judge mode","Giới hạn lượng nội dung đưa vào model","Kết nối công cụ phân tích hợp đồng thông minh","Giới hạn agent chỉ được xem mã nguồn cho phép","Chuẩn hóa bộ đánh giá ban đầu","Làm màn hình gửi finding để chấm","Có bản Judge mode đầu tiên",""
"C04","08/2026 - Tuần 3-4","Ghi nhận thời gian và chi phí mỗi lần chạy","Hoàn thiện lưu trạng thái phiên tối thiểu","Hoàn thiện kết quả công cụ ở dạng agent dễ hiểu","Kiểm tra các trường hợp truy cập sai phạm vi","So sánh độ chính xác và chi phí giữa model thuần với hệ thống hỗ trợ","Hiển thị verdict và bằng chứng","M1: Xác định các hạng mục cần ưu tiên nâng cấp",""
"C05","09/2026 - Tuần 1-2","Giúp agent tự phục hồi khi một bước gặp lỗi","Rút gọn nội dung dài nhưng giữ thông tin cần thiết","Xây nơi quản lý tập trung toàn bộ công cụ","Ngăn dữ liệu nhạy cảm xuất hiện trong kết quả công cụ","Mở rộng dữ liệu, bổ sung cả finding đúng và finding bị loại","Lưu lịch sử các lần chạy","Hệ thống chạy ổn định qua nhiều trường hợp",""
"C06","09/2026 - Tuần 3-4","Kiểm soát giới hạn mỗi lần chạy và cho phép bật hoặc tắt từng thành phần","Cho phép bật hoặc tắt tính năng ghi nhớ để so sánh","Cho phép thêm công cụ mới mà không sửa phần điều phối","Ghi nhận và giải thích các lần công cụ bị chặn","Chuẩn hóa cách phân loại finding và cố định cách chia dữ liệu theo từng cuộc thi","Lưu đầy đủ từng hành động của agent","Chốt dữ liệu hành trình và cách bật hoặc tắt các thành phần",""
"C07","10/2026 - Tuần 1-2","Gắn toàn bộ hành động vào đúng lần chạy","Hoàn thiện ghi chú trong phiên và bộ nhớ dùng lại giữa các lần chạy","Xây kỹ năng phát hiện lỗi tái nhập","Chốt quy tắc tách mã nguồn khỏi đáp án","Tự động chạy toàn bộ bộ đánh giá","Kết nối giao diện với hệ thống chấm thật","Judge mode chạy end-to-end",""
"C08","10/2026 - Tuần 3-4","Kiểm tra độ ổn định khi chạy liên tiếp nhiều lần","Cho phép bật hoặc tắt việc rút gọn ngữ cảnh","Xây kỹ năng kiểm tra quyền truy cập","Kiểm thử khả năng vượt khỏi phạm vi mã nguồn","So sánh với công cụ audit truyền thống và một agent đa dụng","Hoàn thiện màn hình xem lại từng bước","M2: Judge mode có trace đầy đủ",""
"C09","11/2026 - Tuần 1-2","Tự rút gọn phiên khi nội dung trở nên quá dài","Đo chi phí tiết kiệm nhờ quản lý ngữ cảnh","Xây kỹ năng kiểm tra thao túng oracle","Thử nghiệm sinh bằng chứng chạy được","Đo đóng góp của từng thành phần lần đầu","Cho phép đặt nhiều lần chạy cạnh nhau để so sánh","Có bảng đánh giá từng thành phần",""
